,Date,Open,High,Low,Close,Adj Close,Volume
1027,2004-02-05,1.558571,1.636429,1.557857,1.601429,1.393404,88211200
1028,2004-02-06,1.603571,1.635,1.6,1.622143,1.411428,48335000
1029,2004-02-09,1.615714,1.632857,1.607143,1.619286,1.408942,47065200
1030,2004-02-10,1.615714,1.651429,1.602857,1.641429,1.428208,63835800
1031,2004-02-11,1.649286,1.705,1.646429,1.7,1.479172,87136000
1032,2004-02-12,1.6864290000000002,1.713571,1.685714,1.695,1.474821,45997000
1033,2004-02-13,1.703571,1.721429,1.630714,1.642857,1.429451,78995000
1034,2004-02-17,1.65,1.677857,1.65,1.654286,1.439396,42739200
1035,2004-02-18,1.655714,1.6742860000000002,1.646429,1.661429,1.445611,35408800
1036,2004-02-19,1.6664290000000002,1.6885709999999998,1.600714,1.605,1.396512,80770200
1037,2004-02-20,1.607143,1.607857,1.586429,1.6,1.392162,69400800
1038,2004-02-23,1.595714,1.604286,1.5635709999999998,1.585,1.37911,48519800
1039,2004-02-24,1.5814290000000002,1.624286,1.5714290000000002,1.597143,1.389675,64764000
1040,2004-02-25,1.591429,1.635714,1.586429,1.629286,1.417643,69069000
1041,2004-02-26,1.634286,1.655714,1.628571,1.645714,1.431937,49602000
1042,2004-02-27,1.64,1.715714,1.639286,1.7085709999999998,1.48663,117209400
1043,2004-03-01,1.721429,1.735714,1.705,1.715714,1.492845,80420200
1044,2004-03-02,1.714286,1.721429,1.697857,1.7007139999999998,1.479793,64171800
1045,2004-03-03,1.685714,1.727857,1.685714,1.7085709999999998,1.48663,56282800
1046,2004-03-04,1.709286,1.8014290000000002,1.707857,1.797143,1.563696,165055800
1047,2004-03-05,1.782143,1.963571,1.778571,1.91,1.661893,385149800
1048,2004-03-08,1.901429,1.913571,1.842857,1.857143,1.615902,130718000
1049,2004-03-09,1.85,1.945,1.839286,1.935714,1.6842669999999995,154590800
1050,2004-03-10,1.931429,2.01,1.924286,1.977143,1.720314,251741000
1051,2004-03-11,1.947857,2.002857,1.935,1.939286,1.6873740000000002,148962800
1052,2004-03-12,1.951429,1.984286,1.940714,1.968571,1.7128560000000002,82306000
1053,2004-03-15,1.930714,1.953571,1.875714,1.889286,1.6438689999999998,120429400
1054,2004-03-16,1.896429,1.900714,1.813571,1.844286,1.604715,151358200
1055,2004-03-17,1.854286,1.884286,1.841429,1.870714,1.62771,102858000
1056,2004-03-18,1.852857,1.861429,1.827857,1.833571,1.595393,80270400
1057,2004-03-19,1.825714,1.924286,1.824286,1.847143,1.607201,102144000
1058,2004-03-22,1.812143,1.869286,1.803571,1.847143,1.607201,104757800
1059,2004-03-23,1.848571,1.857143,1.8014290000000002,1.806429,1.571775,96378800
1060,2004-03-24,1.805,1.839286,1.805,1.821429,1.584827,107053800
1061,2004-03-25,1.867143,1.922143,1.849286,1.919286,1.669972,141611400
1062,2004-03-26,1.928571,1.954286,1.922143,1.931429,1.680538,104973400
1063,2004-03-29,1.955,1.999286,1.942857,1.993571,1.734608,87682000
1064,2004-03-30,1.981429,1.996429,1.952857,1.994286,1.7352299999999998,89919200
1065,2004-03-31,1.994286,1.998571,1.925,1.931429,1.680538,97693400
1066,2004-04-01,1.920714,1.947857,1.901429,1.936429,1.6848880000000002,79583000
1067,2004-04-02,1.982143,1.995,1.945,1.964286,1.709127,68619600
1068,2004-04-05,1.962857,2.026428,1.96,2.022857,1.7600900000000002,96418000
1069,2004-04-06,1.979286,2.010714,1.959286,1.987857,1.729636,64498000
1070,2004-04-07,1.972143,1.978571,1.922857,1.950714,1.697318,63779800
1071,2004-04-08,1.991429,2.0,1.942857,1.966429,1.710991,60229400
1072,2004-04-12,1.964286,2.007143,1.963571,2.002857,1.742688,57635200
1073,2004-04-13,1.998571,2.002143,1.917143,1.923571,1.673701,109099200
1074,2004-04-14,1.91,1.933571,1.879286,1.902857,1.655678,159933200
1075,2004-04-15,2.058571,2.112857,2.011429,2.092857,1.820997,440361600
1076,2004-04-16,2.082143,2.093571,2.035714,2.084286,1.813539,100732800
1077,2004-04-19,2.008571,2.053571,1.987857,2.025,1.761954,178088400
1078,2004-04-20,2.015,2.029286,1.968571,1.980714,1.723422,88629800
1079,2004-04-21,1.971429,2.008571,1.955,1.980714,1.723422,81468800
1080,2004-04-22,1.968571,2.012857,1.936429,1.984286,1.726529,86146200
1081,2004-04-23,1.978571,2.0,1.932143,1.978571,1.721557,78957200
1082,2004-04-26,1.97,1.974286,1.928571,1.937857,1.686131,57782200
1083,2004-04-27,1.945714,1.96,1.906429,1.924286,1.674323,70966000
1084,2004-04-28,1.915714,1.929286,1.881429,1.889286,1.6438689999999998,57792000
1085,2004-04-29,1.889286,1.928571,1.855714,1.912143,1.663757,115197600
1086,2004-04-30,1.907857,1.925714,1.820714,1.841429,1.602229,116625600
1087,2004-05-03,1.857143,1.880714,1.838571,1.862143,1.620252,74408600
1088,2004-05-04,1.855,1.896429,1.821429,1.867143,1.624603,69995800
1089,2004-05-05,1.871429,1.910714,1.854286,1.903571,1.6562990000000002,59526600
1090,2004-05-06,1.885714,1.910714,1.85,1.898571,1.651949,65889600
1091,2004-05-07,1.896429,1.969286,1.896429,1.905,1.6575419999999998,104759200
1092,2004-05-10,1.876429,1.9,1.852857,1.877143,1.633304,62494600
1093,2004-05-11,1.885714,1.942143,1.885714,1.938571,1.686753,76293000
1094,2004-05-12,1.913571,1.952857,1.874286,1.95,1.696697,61355000
1095,2004-05-13,1.935714,1.98,1.921429,1.942143,1.68986,57463000
1096,2004-05-14,1.946429,1.951429,1.889286,1.932857,1.6817810000000002,64450400
1097,2004-05-17,1.907143,1.932857,1.882857,1.902857,1.655678,75111400
1098,2004-05-18,1.926429,1.949286,1.914286,1.932857,1.6817810000000002,51515800
1099,2004-05-19,1.957143,1.964286,1.887143,1.890714,1.645113,93898000
1100,2004-05-20,1.902143,1.928571,1.890714,1.907857,1.660029,49074200
1101,2004-05-21,1.921429,1.942857,1.909286,1.936429,1.6848880000000002,44973600
1102,2004-05-24,1.949286,1.992857,1.936429,1.952857,1.699183,58900800
1103,2004-05-25,1.964286,2.036429,1.949286,2.029286,1.765684,79994600
1104,2004-05-26,2.023571,2.055714,2.0,2.036429,1.771899,80542000
1105,2004-05-27,2.032857,2.042857,1.987143,2.012143,1.7507669999999995,58993200
1106,2004-05-28,2.005714,2.019286,1.985714,2.004286,1.743931,36429400
1107,2004-06-01,1.985,2.014286,1.972143,2.004286,1.743931,45533600
1108,2004-06-02,2.002143,2.083571,1.985714,2.065714,1.79738,79678200
1109,2004-06-03,2.051429,2.070714,2.020714,2.028571,1.765062,62732600
1110,2004-06-04,2.04,2.089286,2.036429,2.055714,1.788679,99778000
1111,2004-06-07,2.074286,2.141428,2.057857,2.129286,1.852694,73969000
1112,2004-06-08,2.142143,2.174286,2.130714,2.167857,1.886254,103905200
1113,2004-06-09,2.149286,2.193571,2.142857,2.157143,1.876932,87301200
1114,2004-06-10,2.157143,2.212143,2.157143,2.195714,1.910493,64394400
1115,2004-06-14,2.189286,2.1914290000000003,2.107143,2.151428,1.87196,60996600
1116,2004-06-15,2.181429,2.224286,2.161429,2.192143,1.907385,111158600
